Category,Community,01/01/2012,02/01/2012,03/01/2012,04/01/2012,05/01/2012,06/01/2012,07/01/2012,08/01/2012,09/01/2012,10/01/2012,11/01/2012,12/01/2012,01/01/2013,02/01/2013,03/01/2013,04/01/2013,05/01/2013,06/01/2013,07/01/2013,08/01/2013,09/01/2013,10/01/2013,11/01/2013,12/01/2013,01/01/2014,02/01/2014,03/01/2014,04/01/2014,05/01/2014,06/01/2014,07/01/2014,08/01/2014,09/01/2014,10/01/2014,11/01/2014,12/01/2014,01/01/2015,02/01/2015,03/01/2015,04/01/2015,05/01/2015,06/01/2015,07/01/2015,08/01/2015,09/01/2015,10/01/2015,11/01/2015,12/01/2015,01/01/2016,02/01/2016,03/01/2016,04/01/2016,05/01/2016,06/01/2016,07/01/2016,08/01/2016,09/01/2016,10/01/2016,11/01/2016,12/01/2016,01/01/2017,02/01/2017,03/01/2017,04/01/2017,05/01/2017,06/01/2017,07/01/2017,08/01/2017,SEP,OCT,NOV,DEC
Street Robbery,NORTH GLENMORE PARK,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Street Robbery,NORTH HAVEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Street Robbery,NORTH HAVEN UPPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
Street Robbery,NOSE HILL PARK,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Street Robbery,OGDEN,,,1,,2,1,1,,1,,,,1,,,,,,,1,,,,,1,,,1,,,,,,,,,,,,,,,1,,,1,,1,,,,,,,1,,1,,,,,,,,,,,,,,,
Street Robbery,OGDEN SHOPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Street Robbery,PALLISER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Street Robbery,PANORAMA HILLS,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,
Street Robbery,PARKDALE,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Street Robbery,PARKHILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Street Robbery,PENBROOKE MEADOWS,,,1,1,1,2,,,1,,1,,1,1,,,,,1,1,,1,,,,1,1,,1,1,,,,,,,,,,1,,,,1,,1,1,,1,,,,1,,,,,,,,,,1,,,2,,,,,,
Street Robbery,PINERIDGE,2,1,,,,1,,2,1,,,,2,,2,,1,1,1,,,,1,,2,1,,,1,,1,,,,,,,3,3,1,3,2,,3,,,,1,2,1,,,2,,,,2,,,,1,1,1,,,3,1,1,,,,
Street Robbery,PUMP HILL,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Street Robbery,QUEENSLAND,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Street Robbery,RANCHLANDS,,1,,,1,,,,,1,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
Street Robbery,RED CARPET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
Street Robbery,REDSTONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
Street Robbery,RENFREW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
Street Robbery,RICHMOND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Street Robbery,RIVERBEND,,,,,1,,,,,,1,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,1,,,,,,,
Street Robbery,ROCKY RIDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Street Robbery,ROSEMONT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Street Robbery,ROSSCARROCK,,,,,,1,,,,,,,,,,,1,,,,,,,,1,,,,1,,,,,,,,,1,1,,,,,,,1,,,1,,,,,,1,,,,,,,,1,,1,,,,,,,
Street Robbery,ROXBORO,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Street Robbery,ROYAL VISTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Street Robbery,RUNDLE,1,,1,1,,,,3,,2,,,,,,,2,,3,1,,1,2,2,1,1,2,1,,1,,,1,1,,1,1,1,,,,1,5,,1,,,2,2,1,,,1,1,,,,,,,1,,1,,3,1,,1,,,,
Street Robbery,RUTLAND PARK,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Street Robbery,SADDLE RIDGE,,,,,,,,,,,,,1,,,,,1,,,,,,2,,1,,2,,,,,,,,,1,,1,,,,,,3,,,,1,,,,1,,,,,,,,1,1,,,1,,1,,,,,
Street Robbery,SADDLE RIDGE INDUSTRIAL,,,,1,,1,,,,2,,,,,1,,,,,1,,,1,,,,1,,,,,,,1,,,,,2,,,,1,,,,1,,,,,1,2,,1,,,,,,,,,,,,,,,,,
Street Robbery,SAGE HILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
Street Robbery,SANDSTONE VALLEY,,,,,1,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,1,,1,,,,,,,,,,,,,1,,,,,,,,,,,
Street Robbery,SCARBORO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Street Robbery,SCENIC ACRES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Street Robbery,SHAGANAPPI,,,,,,,,,,,,,,,1,,,,,,,1,,,,,1,,,,,,,,,,,,2,,,,,,,,1,,,,1,1,,,,,1,,,,,,,,,,,,,,,
Street Robbery,SHAWNEE SLOPES,,,,,,1,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Street Robbery,SHAWNESSY,,1,,,,,,,,1,4,1,2,,2,,,,1,,1,,1,,,,,,,,,1,1,1,1,1,1,,,,3,,,1,1,,,1,,,,,,,1,1,,,,,,,1,,,,1,,,,,
Street Robbery,SIGNAL HILL,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,1,1,1,1,,,,,,
Street Robbery,SILVER SPRINGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Street Robbery,SKYVIEW RANCH,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Street Robbery,SOMERSET,1,,,,,,,,,,,1,,,,,,,1,1,1,,,,,,,,,,,,,2,,1,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Street Robbery,SOUTH AIRWAYS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,1,,,,,,,,
Street Robbery,SOUTH CALGARY,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Street Robbery,SOUTHVIEW,,1,,,,1,,,,,,1,,,,,1,,1,,1,1,,,,1,1,1,,1,,2,1,,,1,,,1,1,,1,,1,,,,,,,,1,,,,1,,,,,1,,1,,,,,1,,,,
Street Robbery,SOUTHWOOD,,1,2,,,1,,1,,1,1,3,1,1,2,,,,1,1,2,,3,1,,,,,2,,1,,,,1,1,,,3,,2,1,,,1,1,,,,1,1,,,,,,,,,,1,,,,,1,1,1,,,,
Street Robbery,SPRINGBANK HILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,,,,
Street Robbery,SPRUCE CLIFF,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Street Robbery,ST. ANDREWS HEIGHTS,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Street Robbery,STONEY 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,
Street Robbery,STRATHCONA PARK,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Street Robbery,SUNALTA,1,,1,,1,,,1,,,,,,,1,1,,,,,2,,,1,,,1,,,1,,,1,2,,,1,,,1,,,1,,2,,,1,1,,,1,,1,,,,,,,,,1,,,,,,,,,
Street Robbery,SUNDANCE,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Street Robbery,SUNNYSIDE,,,,,,,,,,,,,,,2,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,1,2,,,,,,,,,,,,,,,,,
Street Robbery,SUNRIDGE,1,,1,2,,,,,2,1,1,,1,,,2,,,,,2,,,4,,,,,,1,,,,,1,,2,,,,2,,,,,,,1,,,,,,,,,,,,,,1,,1,1,,1,2,,,,
Street Robbery,TARADALE,1,,,,1,,,,1,,,,,,,,1,,,,3,,,,1,,,1,1,,1,,,,1,,,,,,,,,,,,,,,,1,2,,,1,,,,,,,,,1,,,,2,,,,
Street Robbery,TEMPLE,,1,2,,,,1,2,,,,,2,,,1,1,,,,,,,2,1,1,,,,,,,,2,,1,,,3,,,1,3,3,,,2,1,,,,2,1,1,1,,,,,,,1,,,,1,2,1,,,,
Street Robbery,THORNCLIFFE,1,2,,,1,,1,,,,,,1,1,,,,,,,,,1,,1,,,1,,,,,,,,1,,,2,,,,,1,,,,,,,1,2,,,,,,,,,1,,,,1,2,,,,,,
Street Robbery,TUSCANY,,,,,,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,
Street Robbery,TUXEDO PARK,,1,,,,,,,1,,,,,1,,,,,,,,,1,,,,,1,,,1,,,,1,,,,,,,,,1,,,1,,,1,,,,,1,1,,,,,,,1,,,,,,,,,
Street Robbery,UNIVERSITY HEIGHTS,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,
Street Robbery,UNIVERSITY OF CALGARY,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Street Robbery,UPPER MOUNT ROYAL,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Street Robbery,VALLEY RIDGE,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Street Robbery,VALLEYFIELD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Street Robbery,VARSITY,,,,,,,,,,1,,,,,,1,1,1,,,,1,,,1,,,,,,,,,,1,,,1,1,,,1,,,,,1,,,1,,,,,,2,,,,,1,1,,,,,,,,,,
Street Robbery,VISTA HEIGHTS,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
Street Robbery,WALDEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Street Robbery,WEST HILLHURST,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Street Robbery,WEST SPRINGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Street Robbery,WESTGATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Street Robbery,WESTWINDS,,1,1,,,,1,,,1,,,,,,,1,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,1,1,,,,,,,,,,
Street Robbery,WHITEHORN,3,,2,,,,1,1,,1,1,2,,,,1,1,4,1,2,1,,,,,,,,,,1,2,1,,,3,,1,,1,1,2,2,4,1,,,2,2,,1,,,,,3,,,,,,2,2,2,,1,1,,,,,
Street Robbery,WILDWOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Street Robbery,WILLOW PARK,,,,,,,,,,,,,,,1,,,,,,,,,,1,,1,,1,,,1,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
Street Robbery,WINDSOR PARK,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Street Robbery,WINSTON HEIGHTS/MOUNTVIEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,
Street Robbery,WOODBINE,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,,1,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,
Street Robbery,WOODLANDS,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,1,,,,,
Street Robbery,03V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Violenceæ 'Other' (Non-domestic),ABBEYDALE,1,,,,,,1,,,,,,1,2,1,1,,,,,2,1,1,1,,,,,,,3,1,,,,,,1,,1,1,,,,,,1,,,,,,1,,,1,,,,,2,,,1,1,,1,1,,,,
Violenceæ 'Other' (Non-domestic),ACADIA,1,,2,2,,2,,2,1,1,2,,2,2,,1,1,1,,,6,2,3,,2,,2,1,,2,,2,2,1,2,,1,3,2,,4,3,2,3,4,2,1,1,1,1,,,,,,1,,,,,1,1,1,3,1,1,1,2,,,,
Violenceæ 'Other' (Non-domestic),ALBERT PARK/RADISSON HEIGHTS,3,1,2,1,,2,4,3,,,,2,1,2,1,2,2,1,1,1,,,1,,,1,,1,3,,1,,1,1,,2,,,1,1,2,,1,,1,1,1,1,,,,3,1,2,2,1,1,,,,3,1,2,4,2,2,1,2,,,,
Violenceæ 'Other' (Non-domestic),ALTADORE,,,,,,,,,1,,,2,,,2,,1,,,1,1,1,,1,,1,,,,1,1,1,,1,,2,,2,,,1,,,2,1,,,,1,2,,,1,,1,1,,,,,,2,2,1,,1,1,,,,,
Violenceæ 'Other' (Non-domestic),ALYTH/BONNYBROOK,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,2,,1,,,,,1,,,,
Violenceæ 'Other' (Non-domestic),APPLEWOOD PARK,,1,2,,,,2,,2,,,,1,,,1,,,,1,2,,3,,,1,,,,,,1,,,,,,2,,,1,,1,,,,1,,,,,,2,,,,,,,,,1,,,,,,2,,,,
Violenceæ 'Other' (Non-domestic),ARBOUR LAKE,1,,1,1,2,1,2,1,1,,1,,,1,,1,1,,,,,,,,1,,2,,,1,,,,1,,,,1,2,1,,,3,3,,,,,1,,,1,,1,,2,,,,,1,1,3,2,,1,1,,,,,
Violenceæ 'Other' (Non-domestic),ASPEN WOODS,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,2,,1,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,
Violenceæ 'Other' (Non-domestic),AUBURN BAY,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,1,1,,,,,,,,,,,,,,,,,,1,,1,,,,,,1,2,,,,,,,,
Violenceæ 'Other' (Non-domestic),BANFF TRAIL,1,1,,,,,1,,,1,1,,,1,1,2,,,,,,,,2,3,,,,,,,1,,,,,1,,,,,1,,,2,,1,,,1,,,1,1,1,1,1,,,,1,,,1,1,1,1,,,,,
Violenceæ 'Other' (Non-domestic),BANKVIEW,,2,1,1,,,,1,,1,1,,1,1,1,,,3,1,,1,,1,1,1,,2,,,,2,1,,,,,,,,,,1,,1,1,1,,,1,,,1,,,1,,,,,,3,,,,1,,1,,,,,
Violenceæ 'Other' (Non-domestic),BAYVIEW,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Violenceæ 'Other' (Non-domestic),BEDDINGTON HEIGHTS,,3,1,1,,1,1,2,,1,1,,,,,1,1,,2,1,1,1,2,,,,,1,1,,,1,1,1,,,1,,1,2,1,,,1,,2,,,1,1,1,2,2,2,,,,,,,1,,,,,1,,,,,,
Violenceæ 'Other' (Non-domestic),BEL-AIRE,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Violenceæ 'Other' (Non-domestic),BELTLINE,3,3,5,2,1,6,4,4,5,2,2,2,1,3,3,2,3,4,6,5,4,3,3,1,3,1,1,2,3,4,4,6,2,6,5,7,5,,3,5,1,1,6,2,2,6,7,2,6,6,4,9,8,5,5,6,6,,,,8,5,8,10,7,6,12,3,,,,
Violenceæ 'Other' (Non-domestic),BONAVISTA DOWNS,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
Violenceæ 'Other' (Non-domestic),BOWNESS,2,,,3,2,3,3,2,3,,4,4,1,2,3,,2,2,1,1,2,1,2,2,,1,1,,1,,,1,2,1,1,1,2,1,2,,1,2,1,,1,,,,2,,,5,,2,2,1,,,,,,,4,1,2,4,1,1,,,,
Violenceæ 'Other' (Non-domestic),BRAESIDE,,,2,1,,1,1,,,,,,,,,,,,,1,,,2,,,,1,,,2,1,,,1,,,1,,2,1,1,1,,,,,,1,1,,2,2,,,,1,,,,,1,,,,1,1,,,,,,
Violenceæ 'Other' (Non-domestic),BRENTWOOD,,1,,,,,1,,,2,,,1,,,,1,1,1,,1,1,,,2,,1,,,,1,2,,,,1,,,,,,,1,,1,1,,,1,,1,,,1,1,,1,,,,,1,,,1,2,,1,,,,
Violenceæ 'Other' (Non-domestic),BRIDGELAND/RIVERSIDE,1,1,,,,1,,1,,2,1,1,,1,1,,,1,2,1,2,1,,2,,1,2,1,1,,,,2,,2,2,1,,,,,2,,,,2,,1,,,1,,,1,1,2,,,,,1,1,2,,1,2,,1,,,,
Violenceæ 'Other' (Non-domestic),BRIDLEWOOD,,,,,,1,,,1,,1,,2,,,,1,1,,,,1,,1,,,,1,,,1,1,,1,,,,1,,,1,1,,,,1,,,,,1,,,,2,,1,,,,,,1,,,,,,,,,
Violenceæ 'Other' (Non-domestic),BRITANNIA,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Violenceæ 'Other' (Non-domestic),BURNS INDUSTRIAL,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,
Violenceæ 'Other' (Non-domestic),CALGARY INTERNATIONAL AIRPORT,,1,,,,,,,,,,,1,,1,,,1,,,1,,,,,1,,,,,,,1,,,4,,,1,,,1,1,,,,,,2,,2,,,1,,,,,,,1,,,1,,,1,1,,,,
Violenceæ 'Other' (Non-domestic),CAMBRIAN HEIGHTS,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,
Violenceæ 'Other' (Non-domestic),CANADA OLYMPIC PARK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
Violenceæ 'Other' (Non-domestic),CANYON MEADOWS,1,1,,,,,1,1,,1,2,2,,,,,,,,,,,,,1,,,,2,1,,,1,,,4,,2,,1,1,,,1,,,,,,,,,2,1,,,,,,,,,1,,,,1,1,,,,
Violenceæ 'Other' (Non-domestic),CAPITOL HILL,1,,1,,,,3,,,,2,1,1,,,,2,,,,1,,,1,,,,,,,,,,,1,,,,1,,,2,2,1,,,,1,1,,,,1,,1,,,,,,,,,,1,,,1,,,,
Violenceæ 'Other' (Non-domestic),CASTLERIDGE,,,,2,1,2,1,1,1,,1,,,1,,1,,,1,,,,,,,1,,,,2,,,1,,,,1,1,1,,,1,,1,,,2,,,1,,,1,1,,1,,,,,1,2,,1,,2,1,,,,,
Violenceæ 'Other' (Non-domestic),CEDARBRAE,1,1,,,,,,1,1,,,,,1,,,,,,,,,1,,,1,,,1,,,1,,,,,,,,,,1,,1,,,,,,,,1,,,,,1,,,,,,,1,,,,1,,,,
Violenceæ 'Other' (Non-domestic),CFB - CURRIE,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Violenceæ 'Other' (Non-domestic),CFB - LINCOLN PARK PMQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
Violenceæ 'Other' (Non-domestic),CHAPARRAL,,,,,,,,1,,1,1,,,,,,,2,,1,1,,,,,1,,1,1,,,,,,,,,,,,,2,,,,,,1,,,1,,,3,1,,,,,,,1,,,1,,1,,,,,
Violenceæ 'Other' (Non-domestic),CHARLESWOOD,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,1,,,,,,,,,
Violenceæ 'Other' (Non-domestic),CHINATOWN,,1,,,,,,1,1,1,,,,,1,,,1,1,1,,2,,,,,,,1,1,,,,,,,,,,1,,1,,1,,,,,1,,,,,,,,,,,,,,,,,1,,1,,,,
Violenceæ 'Other' (Non-domestic),CHINOOK PARK,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Violenceæ 'Other' (Non-domestic),CHRISTIE PARK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Violenceæ 'Other' (Non-domestic),CITADEL,,,1,,,,,,,,,,1,1,,,,,1,,,,,,,1,,,,,,1,1,,,,1,,,,,,,,,,,,,1,1,1,,,,1,1,,,,,,,1,1,,,,,,,
Violenceæ 'Other' (Non-domestic),CLIFF BUNGALOW,1,1,,,,,2,,,,,,,,,,1,,,2,,1,1,,,,,,,,1,,,1,,,,,,1,,,,,,1,,,,,,,,,,,1,,,,,,,,,1,3,,,,,
Violenceæ 'Other' (Non-domestic),COACH HILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,1,1,,,,,,,,,,,1,,,,,,
Violenceæ 'Other' (Non-domestic),COLLINGWOOD,,,,,,,,,1,1,,,,,,,,,,1,,,,1,1,,,,1,,,,,1,,,,,,,,,2,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Violenceæ 'Other' (Non-domestic),COPPERFIELD,,,1,,,,1,1,,,,,1,,1,,,,,1,,,,,,,3,,,1,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,1,,2,,1,,,,,
Violenceæ 'Other' (Non-domestic),CORAL SPRINGS,,,1,,,,,,,,,2,,,,,,2,,,,2,1,,,,,,1,1,,,,1,1,,,,,,,,,,2,1,,,,1,1,,,1,1,,1,,,,,,,1,1,,1,,,,,
Violenceæ 'Other' (Non-domestic),COUGAR RIDGE,,,,,1,,1,,1,,,,,,,,,,1,,,,,,1,,,,1,,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Violenceæ 'Other' (Non-domestic),COUNTRY HILLS,,,,,,,,,,,,,1,,1,,,,,,,,,,,1,,,,,,1,,,,,1,,,,,,,,,,,1,,1,,,,,1,,,,,,,,,1,1,,,,,,,
Violenceæ 'Other' (Non-domestic),COUNTRY HILLS VILLAGE,,,1,,,,,,1,,,,,1,1,,,,,1,,,,4,,1,,,2,,1,1,,,,1,1,,,,1,1,,,,2,,,,,1,,,,,,,,,,1,1,,,,,,,,,,
Violenceæ 'Other' (Non-domestic),COVENTRY HILLS,1,,,,,,,1,,1,,,1,,,,,1,1,1,2,,,,,,,1,,,1,,,1,,2,1,1,2,,,,1,,1,,,,,2,1,1,,,1,,,,,,,,,4,2,1,,2,,,,
Violenceæ 'Other' (Non-domestic),CRANSTON,,,,,,,,,,1,,1,,1,,,,,,,1,,1,1,,,,,,1,,,,1,,,,,,,,,,2,1,,,,1,1,1,,,1,,,,,,,,,,,1,1,,,,,,
Violenceæ 'Other' (Non-domestic),CRESCENT HEIGHTS,2,,,,1,,1,1,,,,1,2,1,2,,,,1,,1,,2,,,,1,1,4,1,2,,2,,,2,2,2,,,,2,,,,1,1,,,,2,2,1,1,1,1,,,,,3,,,1,,4,2,1,,,,
Violenceæ 'Other' (Non-domestic),CRESTMONT,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
